business_name,address,category_slug,suburb_slug,contact_email,phone,website,source_url,source_checked_on,verification_status,notes
Card Cave,"5 Separation St, Northcote VIC 3070",specialty-retail,northcote,thecardcaveau@gmail.com,0480 514 605,https://thecardcave.com.au/,https://northcoterise.com.au/directory/card-cave,2026-07-15,source_verified,Northcote Rise directory listing; address and public contacts copied from the listing.
Hi Hot Pot,"337 High Street Northcote",restaurant,northcote,,0433 252 188,,https://northcoterise.com.au/directory/hi-hot-pot,2026-07-15,source_verified,Northcote Rise directory listing; public phone copied from the listing.
Indigo Republic,"275 High Street Northcote",fashion,northcote,indigorepublic@gmail.com,0413 332 870,https://indigorepublicstore.au/,https://northcoterise.com.au/directory/indigo-republic,2026-07-15,source_verified,Northcote Rise directory listing; public contacts copied from the listing.
MyKids Dentist,"334b High Street Northcote",dentist,northcote,info@mykidsdentistoncall.com.au,0421 841 597,https://www.mykidsdentistoncall.com.au/,https://northcoterise.com.au/directory/mykids-dentist,2026-07-15,source_verified,Northcote Rise directory listing; public contacts copied from the listing.
Red Cross Shop,"268 High Street Northcote",thrift-store,northcote,,03 9700 4815,https://www.redcross.org.au/homepage/,https://northcoterise.com.au/directory/red-cross-shop,2026-07-15,source_verified,Northcote Rise directory listing; public local phone normalized with Melbourne 03 area code and website copied from the listing.
Calle Bakery,"229 High Street Northcote",bakery,northcote,ellena.ly73@gmail.com,03 9853 4157,https://calle.com.au/,https://northcoterise.com.au/directory/calle-bakery,2026-07-15,source_verified,Northcote Rise directory listing; public local phone normalized with Melbourne 03 area code and email and website copied from the listing.
North Star Barbershop,"204 High Street Northcote",barber,northcote,contact@northstarbarbershop.com.au,0486 283 832,https://northstarbarbershop.com.au/,https://northcoterise.com.au/directory/north-star-barbershop,2026-07-15,source_verified,Northcote Rise directory listing; public contacts copied from the listing.
Frank's Rug + Vintage,"253 High St, Northcote",homewares,northcote,hello@franksrugandvintage.com,0492 977 452,,https://northcoterise.com.au/directory/franks-rug-vintage,2026-07-15,source_verified,Northcote Rise directory listing; public contact data copied from the listing.
Curiosities curated by The Jacob Miller Show,"354 High Street Northcote",specialty-retail,northcote,jacob@thejacobmillershow.com,0488 048 659,,https://northcoterise.com.au/directory/curiosities-curated-by-the-jacob-miller-show,2026-07-15,source_verified,Northcote Rise directory listing; public contact data copied from the listing.
Senkuban,"238 High Street Northcote 3070",restaurant,northcote,senkubannorthcote@gmail.com,,,https://northcoterise.com.au/directory/senkuban,2026-07-15,source_verified,Northcote Rise directory listing; public email copied from the listing.
Emma Rea Fine Jewellery,"246 High Street Northcote 3070",jeweller,northcote,enquiry@emmarea.com,,https://www.emmarea.com/,https://northcoterise.com.au/directory/emma-rea-fine-jewellery,2026-07-15,source_verified,Northcote Rise directory listing; public email and website copied from the listing.
ARC Vet,"369 High Street, Northcote",veterinary,northcote,lets-talk@arcvet.com.au,(03) 7071 2824,https://arcvet.com.au/,https://northcoterise.com.au/directory/arc-vet,2026-07-15,source_verified,Northcote Rise directory listing; public contacts copied from the listing.
Loku,"298 High St, Northcote VIC 3070",restaurant,northcote,lanka.imiyaarachchige@gmail.com,0461 308 007,https://loku.com.au/,https://northcoterise.com.au/directory/loku,2026-07-15,source_verified,Northcote Rise directory listing; public contacts copied from the listing.
Momus Boy,"373 High St, Northcote VIC 3070",restaurant,northcote,momusboys@gmail.com,(03) 7300 6747,https://momusboy.bitebusiness.com/,https://northcoterise.com.au/directory/momus-boy,2026-07-15,source_verified,Northcote Rise directory listing; public contacts copied from the listing.
Uniting Op Shop,"309-311 High St, Northcote",thrift-store,northcote,beth.fisken@vt.uniting.org,(03) 9051 2110,https://www.unitingvictas.org.au/locations/northcote-op-shop/,https://northcoterise.com.au/directory/uniting-op-shop,2026-07-15,source_verified,Northcote Rise directory listing; public contacts copied from the listing.
Yolux,"350 High Street, Northcote",dessert,northcote,admin@joluxaustralia.com.au,,,https://northcoterise.com.au/directory/yolux,2026-07-15,source_verified,Northcote Rise directory listing; public email copied from the listing.
