business_name,address,category_slug,suburb_slug,contact_email,phone,website,source_url,source_checked_on,verification_status,notes
BP,,fuel,darebin,,,https://map.bp.com/en-AU/AU/gas-station/bundoora/bp-bundoora/7352,https://www.openstreetmap.org/node/310010506,2026-07-15,pending_review,Imported from OpenStreetMap.
McDonald's,"19 Murray Road, Preston VIC 3072",fast-food,preston,,,https://www.mcdonalds.com.au/,https://www.openstreetmap.org/node/310943260,2026-07-15,pending_review,Imported from OpenStreetMap.
Hertz,,car-rental,darebin,,,,https://www.openstreetmap.org/node/324139046,2026-07-15,pending_review,Imported from OpenStreetMap.
Psarakos Market,,supermarket,darebin,,,,https://www.openstreetmap.org/node/328419988,2026-07-15,pending_review,Imported from OpenStreetMap.
Grandview Hotel,429 Heidelberg Road,pub,darebin,,,https://grandviewhotelfairfield.com/,https://www.openstreetmap.org/node/479827041,2026-07-15,pending_review,Imported from OpenStreetMap.
Pulse Pharmacy,,pharmacy,darebin,,,https://pulsepharmacy.com.au/,https://www.openstreetmap.org/node/492085531,2026-07-15,pending_review,Imported from OpenStreetMap.
Chemist Warehouse,,pharmacy,darebin,,,https://www.chemistwarehouse.com.au/,https://www.openstreetmap.org/node/492085532,2026-07-15,pending_review,Imported from OpenStreetMap.
Complete Care Medical Centre,,doctors,darebin,,,,https://www.openstreetmap.org/node/567833498,2026-07-15,pending_review,Imported from OpenStreetMap.
Northcote Lawyers & Associates,,lawyer,darebin,,+61 3 9486 1661,https://northcotelawyers.com.au/,https://www.openstreetmap.org/node/606291503,2026-07-15,pending_review,Imported from OpenStreetMap.
PMP Motors,"388 St Georges Road, Thornbury VIC 3071",car-repair,thornbury,,+61 3 9484 2112,,https://www.openstreetmap.org/node/606294312,2026-07-15,pending_review,Imported from OpenStreetMap.
Cellarbrations,,alcohol,darebin,,,,https://www.openstreetmap.org/node/606295371,2026-07-15,pending_review,Imported from OpenStreetMap.
Coles,25 Separation Street,supermarket,darebin,,,https://www.coles.com.au/find-stores/coles/vic/northcote-7784,https://www.openstreetmap.org/node/669188509,2026-07-15,pending_review,Imported from OpenStreetMap.
ALDI,,supermarket,darebin,,,https://store.aldi.com.au/vic/northcote/cnr-high-street-seperation-street,https://www.openstreetmap.org/node/669188593,2026-07-15,pending_review,Imported from OpenStreetMap.
The Cheesecake Shop,"389 St Georges Road, VIC 3071",pastry,darebin,,+61 3 9484 5577,https://www.cheesecake.com.au/find-bakery/thornbury,https://www.openstreetmap.org/node/678978457,2026-07-15,pending_review,Imported from OpenStreetMap.
Hoyts,,cinema,darebin,,,https://www.hoyts.com.au/,https://www.openstreetmap.org/node/773539537,2026-07-15,pending_review,Imported from OpenStreetMap.
Newsplaza,,newsagent,darebin,,,,https://www.openstreetmap.org/node/939020739,2026-07-15,pending_review,Imported from OpenStreetMap.
Launder It,,cafe,darebin,,,,https://www.openstreetmap.org/node/945554121,2026-07-15,pending_review,Imported from OpenStreetMap.
Darebin Community Health,,clinic,darebin,,+61 3 9403 1200,,https://www.openstreetmap.org/node/1034785522,2026-07-15,pending_review,Imported from OpenStreetMap.
Northcote Medical,1-2 Robbs Parade,doctors,darebin,,+61 3 9489 6472,,https://www.openstreetmap.org/node/1068765088,2026-07-15,pending_review,Imported from OpenStreetMap.
Croxton Medical Centre,4 Robbs Parade,doctors,darebin,,,,https://www.openstreetmap.org/node/1068765356,2026-07-15,pending_review,Imported from OpenStreetMap.
KFC,,fast-food,darebin,,,https://www.kfc.com.au/,https://www.openstreetmap.org/node/1252166003,2026-07-15,pending_review,Imported from OpenStreetMap.
McDonald's,,fast-food,darebin,,,https://www.mcdonalds.com.au/,https://www.openstreetmap.org/node/1252166004,2026-07-15,pending_review,Imported from OpenStreetMap.
Wash 'N' Glow,97-99 Raglan Street,car-wash,darebin,,,,https://www.openstreetmap.org/node/1422631889,2026-07-15,pending_review,Imported from OpenStreetMap.
Subway,,fast-food,darebin,,,,https://www.openstreetmap.org/node/1422691689,2026-07-15,pending_review,Imported from OpenStreetMap.
Thirsty Camel,429 Heidelberg Road,alcohol,darebin,,+61 3 9489 8061,https://www.thirstycamel.com.au/stores/grandview-hotel,https://www.openstreetmap.org/node/1422692667,2026-07-15,pending_review,Imported from OpenStreetMap.
Spit Jack,58A Victoria Road,cafe,darebin,,+61 3 9021 8864,https://spitjack.com.au/,https://www.openstreetmap.org/node/1423097380,2026-07-15,pending_review,Imported from OpenStreetMap.
Kaféz,,cafe,darebin,,,,https://www.openstreetmap.org/node/1423146744,2026-07-15,pending_review,Imported from OpenStreetMap.
Bakers Delight,,bakery,darebin,,,,https://www.openstreetmap.org/node/1425742646,2026-07-15,pending_review,Imported from OpenStreetMap.
CTA Salon,,hairdresser,darebin,,,,https://www.openstreetmap.org/node/1425742651,2026-07-15,pending_review,Imported from OpenStreetMap.
Fresh and Best,,bakery,darebin,,,,https://www.openstreetmap.org/node/1425742670,2026-07-15,pending_review,Imported from OpenStreetMap.
Northcote Caffe Espresso,,cafe,darebin,,,,https://www.openstreetmap.org/node/1425742673,2026-07-15,pending_review,Imported from OpenStreetMap.
Donut King,,fast-food,darebin,,,https://www.donutking.com.au/,https://www.openstreetmap.org/node/1425742677,2026-07-15,pending_review,Imported from OpenStreetMap.
Romatino Quality Meat,,butcher,darebin,,,,https://www.openstreetmap.org/node/1425742682,2026-07-15,pending_review,Imported from OpenStreetMap.
Best Baked,,bakery,darebin,,,,https://www.openstreetmap.org/node/1425742684,2026-07-15,pending_review,Imported from OpenStreetMap.
Fergerson Plarre,,cafe,darebin,,,https://www.fergusonplarre.com.au/,https://www.openstreetmap.org/node/1425742685,2026-07-15,pending_review,Imported from OpenStreetMap.
Keep It Fresh,,greengrocer,darebin,,,,https://www.openstreetmap.org/node/1425742686,2026-07-15,pending_review,Imported from OpenStreetMap.
Turn the Corner Medical Clinic,"409 High Street, VIC 3070",clinic,darebin,,,https://www.turnthecorner.com.au/,https://www.openstreetmap.org/node/1426026595,2026-07-15,pending_review,Imported from OpenStreetMap.
South Crescent Cafe,,cafe,darebin,,,https://www.southcrescentcafe.com,https://www.openstreetmap.org/node/1427015788,2026-07-15,pending_review,Imported from OpenStreetMap.
Northcote Nursery,,garden-centre,darebin,,,,https://www.openstreetmap.org/node/1427083047,2026-07-15,pending_review,Imported from OpenStreetMap.
Doctors of Northcote,295 High Street,doctors,darebin,,+61 3 9481 1214,https://www.doctorsofnorthcote.com/,https://www.openstreetmap.org/node/1427083053,2026-07-15,pending_review,Imported from OpenStreetMap.
Victoria Road Laundrette,"66 Victoria Road, Northcote VIC 3070",laundry,northcote,,+61 3 9481 4539,,https://www.openstreetmap.org/node/1427083058,2026-07-15,pending_review,Imported from OpenStreetMap.
Rocchi's Pharmacy,"293 High Street, Northcote VIC 3070",pharmacy,northcote,,,https://www.healthdirect.gov.au/australian-health-services/healthcare-service/northcote-3070-vic/rocchi-s-pharmacy/pharmacy/fb2c6afe-ef49-733d-5775-9e29854f3951,https://www.openstreetmap.org/node/1427083062,2026-07-15,pending_review,Imported from OpenStreetMap.
Victoria Road Medical Centre,68 Victoria Road,doctors,darebin,,+61 3 9489 5504,,https://www.openstreetmap.org/node/1427083070,2026-07-15,pending_review,Imported from OpenStreetMap.
Recycled Delightful,"69 High Street, Northcote VIC 3070",art,northcote,,,,https://www.openstreetmap.org/node/1427083075,2026-07-15,pending_review,Imported from OpenStreetMap.
7-Eleven,,fuel,darebin,,,https://www.7eleven.com.au/,https://www.openstreetmap.org/node/1427102337,2026-07-15,pending_review,Imported from OpenStreetMap.
Four Beans,22 High Street,cafe,darebin,,+61 3 9482 2875,https://fourbeanscafe.com/,https://www.openstreetmap.org/node/1435070794,2026-07-15,pending_review,Imported from OpenStreetMap.
North Reservoir Medical Centre,"37 Massey Avenue, Reservoir VIC 3073",clinic,reservoir,,+61 3 9460 7780,,https://www.openstreetmap.org/node/1455647290,2026-07-15,pending_review,Imported from OpenStreetMap.
Milk Bar,"33 Massey Avenue, Reservoir VIC 3073",convenience,reservoir,,,,https://www.openstreetmap.org/node/1455649561,2026-07-15,pending_review,Imported from OpenStreetMap.
Massey Avenue Fish & Chips and Pizza,"29 Massey Avenue, Reservoir VIC 3073",fast-food,reservoir,,+61 3 9460 6000,,https://www.openstreetmap.org/node/1455649562,2026-07-15,pending_review,Imported from OpenStreetMap.
Bakery & Cafe,"25 Massey Avenue, Reservoir VIC 3073",cafe,reservoir,,+61 3 9469 4335,,https://www.openstreetmap.org/node/1455649563,2026-07-15,pending_review,Imported from OpenStreetMap.
Reservoir North Mower Repairs,"31 Massey Avenue, Reservoir VIC 3073",doityourself,reservoir,,+61 3 9460 3526,,https://www.openstreetmap.org/node/1455649564,2026-07-15,pending_review,Imported from OpenStreetMap.
