business_name,category_slug,suburb_slug,contact_email,phone,website,source_url,source_checked_on,verification_status,notes
Northcote Plumbing,plumber,northcote,admin@chiversplumbing.com.au,0417 49 59 69,https://www.northcoteplumbing.com.au/,https://www.northcoteplumbing.com.au/,2026-07-14,pending_review,Official site identifies W.L. Chivers Plumbing Pty Ltd and states it services Northcote.
Northcote Plumbing & Gas,plumber,northcote,info@northcoteplumbingandgas.com.au,0411 393 766,https://www.northcoteplumbingandgas.com.au/,https://www.northcoteplumbingandgas.com.au/,2026-07-14,pending_review,Official site lists Northcote VIC 3070 and plumbing and gas services.
Stuart Scott Plumbing,plumber,northcote,info@ssplumbingdc.com.au,0418 555 804,https://www.stuartscottplumbing.com/,https://www.stuartscottplumbing.com/plumber-northcote/,2026-07-14,pending_review,Official service page at stuartscottplumbing.com explicitly states Plumber in Northcote.
Proline Plumbing & Drainage,plumber,preston,prolinepd@gmail.com,,https://www.proline-plumbing.com.au/,https://www.proline-plumbing.com.au/,2026-07-14,pending_review,"Official site lists Preston address and residential plumbing, drainage, gas, hot water, and leak-detection services."
Good Drop Plumbing,plumber,preston,info@gooddropplumbing.com,0408 483 211,https://www.gooddropplumbing.com.au/,https://www.gooddropplumbing.com.au/contact,2026-07-14,pending_review,"Official contact page lists Preston contact details and general, emergency, gas, hot-water, and renovation plumbing services."
GEPD,electrician,thornbury,george@gepd.com.au,0421 733 391,https://gepdmelbourne.com.au/,https://gepdmelbourne.com.au/electrician-thornbury/,2026-07-14,pending_review,Official Thornbury service page lists residential and commercial electrical work plus Thornbury contact details.
EES Electrics Pty Ltd,electrician,thornbury,elvisjnr@eeselectrics.com.au,0409 688 801,https://www.eeselectrics.com.au/,https://www.eeselectrics.com.au/contact,2026-07-14,pending_review,Official contact page lists Thornbury address and contact details; primary focus is industrial electrical support.
Northcote Roofing & Plumbing,plumber,northcote,northcoteroofplumbing@gmail.com,0400 086 116,https://www.northcoteroofingandplumbing.com.au/,https://www.northcoteroofingandplumbing.com.au/contact-us,2026-07-14,pending_review,Official contact page confirms licensed roof-plumbing services across Melbourne northern suburbs.
Petrelli Plumbing Services,plumber,northcote,info@petrelliplumbing.com.au,1800 738 735,https://www.petrelliplumbing.com.au/,https://www.petrelliplumbing.com.au/plumber-northcote,2026-07-14,pending_review,Official Northcote service page confirms residential and commercial plumbing.
Smart Plumbing,plumber,northcote,info@smartplumbing.net.au,03 9361 1827,https://www.smartplumbing.net.au/,https://www.smartplumbing.net.au/suburb/plumber-northcote,2026-07-14,pending_review,Official Northcote service page confirms Melbourne plumbing coverage.
Eagle Plumbing Services,plumber,northcote,eaglepl@optusnet.com.au,0402 488 290,https://www.eagleplumbing.com.au/,https://www.eagleplumbing.com.au/areas-we-serve/northcote/,2026-07-14,pending_review,Official page lists Northcote among Melbourne service areas.
Zebra Plumbing,plumber,northcote,,1300 033 468,https://zebraplumbing.com.au/,https://zebraplumbing.com.au/locations/northcote-plumber/,2026-07-14,pending_review,Official Northcote location page confirms 24/7 plumbing services.
King & Sons Plumbing,plumber,northcote,,03 9993 7122,https://kingandsonsplumbing.com.au/,https://kingandsonsplumbing.com.au/areas-we-service/plumber-northcote/,2026-07-14,pending_review,Official Northcote location page identifies a Melbourne plumber.
